district,club_name
3000,Mannar Thirumalai Naicker College (SF)
3000,Meenakshi Arts and Science College Dindigul
3000,Mookambigai College of Engineering
3000,Mother Teresa Women's University
3000,Mount Zion College of Nursing
3000,M.S Polytechnic
3000,MSS Wakf Board College
3000,Naina Mohamed College
3000,National College
3000,N.M.S. Sermathai Vasan College For Women
3000,N.M.S S. Vellaichamy Nadar College
3000,NPR Arts and Science College
3000,NPR College of Engineering and Technology
3000,NR IAS Academy
3000,NRT Educational Institutions
3000,Pandian Saraswathy Yadav Engineering College
3000,Parvathy's Arts and Science College
3000,Perambalur
3000,Popular College
3000,PSNA College of Engg. and Technology
3000,PSV Polytechnic College
3000,Pudukkottai Agal
3000,Pudukkottai Yugan
3000,Queens College of Arts and Science for Women
3000,Raja College of Engineering and Technology
3000,Ramasmay Chellapapu ITI Eragudi
3000,RC Institute of Hotel Management Eragudi
3000,RC Institution
3000,RVS Kumaran Arts & Science College
3000,SACS MAVMM Engineering College
3000,Saraswathi Narayanan College
3000,Seethalakshmi Ramasamy College
3000,Servite Arts and Science College for Women
3000,Servite B. Ed
3000,Seshasayee Institute of Technology
3000,Sethu Institute of Technology
3000,Shanmuganathan Engineering College
3000,Shrimati Indira Gandhi College
3000,SLS MAVMM Ayira Vaisyar College
3000,Solamalai College of Engineering
3000,Sourashtra College
3000,Sourashtra College for Women
3000,Sourashtra College Self Finance Wing
3000,Sri Amaravathi College of Arts & Science
3000,Sri Bharathi Arts & Science College for Women
3000,Sri Bharathi Engineering College for Women
3000,Srimad Andavan Arts and Science College
3000,Srinivasan College of Arts and Science
3000,Sri Solamalai Polytechnic College
3000,Sri Vinayaga College of Education
3000,SRM Trichy College of Nursing
3000,SSM College of Arts and Science
3000,St. Antony's College
3000,Subramanian Polytechnic College
3000,The Yadava College
3000,Thiagarajar College
3000,Thiagarajar College of Engineering
3000,Tiruchirapalli Yara
3000,Trichy Celestial
3000,Trichy Diamonds
3000,Trichy SRM Arts & Science College
3000,Trichy SRM Medical College Hospital and Research Centre
3000,Urumu Dhanalakshmi College
3000,Valluvar College of Science & Management
3000,"Velammal College Of Engineering & Technology, Madurai"
3000,Venkateswara College of Education Pudukkottai
3000,Venkateswara Polytechnic College
3000,Vidiyal Aranthangi
3000,Vijay Institute of Management
3000,Vikas College of Arts & Science
3011,Activa Delhi IHE
3011,Apeejay Stya University-Gurugram
3011,College of Vocational Studies
3011,Davim Faridabad
3011,Delhi Allure Midwest
3011,Delhi Capital Circle
3011,Delhi Catalyst
3011,Delhi Dynamic Leaders
3011,Delhi Ehsaas
3011,Delhi Elite
3011,Delhi Genesis
3011,Delhi Genesis Midwest
3011,Delhi Heights
3011,Delhi Janak
3011,Delhi MAIMS
3011,Delhi Midtown Maitreyi
3011,Delhi Nexus
3011,Delhi-Pankh
3011,Delhi Philanthropists
3011,Delhi Phoenix Midwest
3011,Delhi Rajdhani
3011,Delhi South
3011,Delhi South Central
3011,Delhi South East
3011,Delhi Valiant Midwest
3011,Delhi Yuva
3011,Don Bosco Institute of Technology (Sankalp)
3011,DPSRU
3011,Dronacharya Govt. College (Gurugram)
3011,DTU Regency
3011,DUSC
3011,Faridabad Aravalli
3011,Galgotia Educational Institute
3011,Galgotias University
3011,"GD Goenka University, Sohna"
3011,Guru Tegh Bahadur Institute of Technology
3011,IILM University Gurugram
3011,Indira Gandhi Delhi Technical University for Women
3011,Indraprastha College For Women (DU)
3011,Ingenious Minds
